[('velocity', 'NN')] 
[('cortical', 'JJ')] 
[('bone', 'NN')] 
[('material', 'NN')] 
[('filling', 'VBG')] 
[('thefracture', 'NN')] 
[('site', 'NN')] 
[('', 'NN')] 
[('time', 'NN')] 
[('delay', 'NN')] 
[('also', 'RB')] 
[('dependent', 'NN')] 
[('fracturegap', 'NN')] 
[('size', 'NN')] 
[('', 'NN')] 
[('previously', 'RB')] 
[('identified', 'VBN')] 
[('lowet', 'NN')] 
[('van', 'NN')] 
[('der', 'NN')] 
[('perre', 'NN')] 
[('[', 'NN')] 
[('', 'NN')] 
[(']', 'NN')] 
[('', 'NN')] 
[('therefore', 'RB')] 
[('', 'NN')] 
[('large', 'JJ')] 
[('change', 'NN')] 
[('velocity', 'NN')] 
[('compared', 'VBN')] 
[('intact', 'JJ')] 
[('bone', 'NN')] 
[('velocity', 'NN')] 
[('particular', 'JJ')] 
[('transducer', 'NN')] 
[('separation', 'NN')] 
[('isdesirable', 'JJ')] 
[('initial', 'JJ')] 
[('inflammatory', 'NN')] 
[('stages', 'NNS')] 
[('healingprocess', 'NN')] 
[('', 'NN')] 
[('compared', 'VBN')] 
[('velocitymeasured', 'VBN')] 
[('bone', 'NN')] 
[('heals', 'NNS')] 
[('', 'NN')] 
[('similarly', 'RB')] 
[('', 'NN')] 
[('large', 'JJ')] 
[('change', 'NN')] 
[('comparedto', 'NN')] 
[('baseline', 'NN')] 
[('measurement', 'NN')] 
[('intact', 'JJ')] 
[('bone', 'NN')] 
[('desirable', 'JJ')] 
[('whenusing', 'VBG')] 
[('signal', 'NN')] 
[('amplitude', 'NN')] 
[('potential', 'JJ')] 
[('parameter', 'NN')] 
[('monitorhealing', 'VBG')] 
[('long', 'RB')] 
[('bones', 'NNS')] 
[('', 'NN')] 
[('small', 'JJ')] 
[('number', 'NN')] 
[('studies', 'NNS')] 
[('performed', 'VBN')] 
[('use', 'NN')] 
[('ultrasound', 'NN')] 
[('signal', 'NN')] 
[('amplitude', 'NN')] 
[('monitor', 'NN')] 
[('healing', 'VBG')] 
[('[', 'NN')] 
[('', 'NN')] 
[(']', 'NN')] 
[('', 'NN')] 
[('despite', 'IN')] 
[('previous', 'JJ')] 
[('attempts', 'NNS')] 
[('develop', 'VB')] 
[('technique', 'NN')] 
[('characterise', 'NN')] 
[('healing', 'VBG')] 
[('process', 'NN')] 
[('long', 'RB')] 
[('bone', 'NN')] 
[('fractures', 'NNS')] 
[('', 'NN')] 
[('onestudy', 'NN')] 
[('protopappas', 'NN')] 
[('et', 'NN')] 
[('al', 'NN')] 
[('', 'NN')] 
[('[', 'NN')] 
[('', 'NN')] 
[(']', 'NN')] 
[('', 'NN')] 
[('using', 'VBG')] 
[('numerical', 'JJ')] 
[('modelling', 'VBG')] 
[('bone', 'NN')] 
[('plates', 'NNS')] 
[('', 'NN')] 
[('performed', 'VBN')] 
[('simulate', 'NN')] 
[('effect', 'NN')] 
[('eachfracture', 'NN')] 
[('healing', 'VBG')] 
[('stage', 'NN')] 
[('ultrasound', 'NN')] 
[('velocity', 'NN')] 
[('', 'NN')] 
[('understanding', 'VBG')] 
[('thebone', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('wwwelseviercom/locate/bone', 'NN')] 
[('⁎corresponding', 'VBG')] 
[('author', 'NN')] 
[('', 'NN')] 
[('fax', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('email', 'NN')] 
[('address', 'NN')] 
[('', 'NN')] 
[('jlcunningham', 'NN')] 
[('', 'NN')] 
[('bathacuk', 'NN')] 
[('', 'NN')] 
[('jl', 'NN')] 
[('', 'NN')] 
[('cunningham', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('/', 'NN')] 
[('$', '$')] 
[('', 'NN')] 
[('see', 'VB')] 
[('front', 'NN')] 
[('matter', 'NN')] 
[('©', 'NN')] 
[('', 'NN')] 
[('elsevier', 'NN')] 
[('inc', 'NN')] 
[('rights', 'NNS')] 
[('reserved', 'VBN')] 
[('', 'NN')] 
[('doi/jbone', 'NN')] 
[('effect', 'NN')] 
[('fracture', 'NN')] 
[('subsequent', 'NN')] 
[('healing', 'VBG')] 
[('ultrasound', 'NN')] 
[('wave', 'NN')] 
